series_name,series_id,api_status,item_count,total_article_count,missing_blog_id_count,missing_blog_ids,notes
Website Visibility Foundations,56,created,7,7,0,,
Technical SEO For Operators,57,created,4,8,4,canonical-audit-workflow-for-seo-teams|noindex-mistakes-seo-teams-miss|sitemap-cleanup-workflow-for-large-sites|internal-linking-system-for-large-sites,
Google Search Console Playbook,58,created,3,8,5,url-inspection-decision-tree|pages-report-troubleshooting-workflow|fixing-discovered-currently-not-indexed|fixing-crawled-currently-not-indexed|gsc-client-reporting-workflow,
Backlinks And Discovery,59,created,6,8,2,backlink-reporting-template-for-agencies|affiliate-backlink-tracking-workflow,
Content Marketing That Gets Discovered,60,created,1,8,7,content-cluster-planning-for-search-visibility|keyword-intent-checklist-before-writing|content-brief-template-for-seo-pages|on-page-seo-checklist-for-new-content|blog-publishing-checklist-for-indexing|content-refresh-workflow-for-organic-growth|content-visibility-reporting-for-content-teams,
Analytics And Tracking For SEO Growth,61,created,2,7,5,ga4-basics-for-seo-reporting|track-organic-landing-pages|indexing-vs-traffic-reporting|monthly-seo-reporting-dashboard|client-seo-reporting-template,
Landing Pages And CRO,62,created,1,6,5,conversion-focused-cta-checklist|landing-page-trust-section-checklist|pricing-page-seo-and-cro|lead-capture-page-seo-checklist|landing-page-indexing-checklist,
Digital Marketing Operations,63,created,1,7,6,seo-qa-process-before-publishing|content-calendar-for-seo-growth|marketing-task-workflow-for-small-teams|vendor-management-workflow-for-seo-campaigns|campaign-checklist-for-repeatable-seo|client-reporting-workflow-for-seo-agencies,
AI Search / GEO Visibility,64,created,2,5,3,content-structure-for-ai-search-discovery|entity-clarity-for-seo-and-ai-search|technical-seo-foundations-for-ai-search,
Tools Providers And Workflow Comparisons,65,created,3,6,3,seo-provider-vs-indexing-tool|backlink-tools-vs-indexing-tools|link-building-tools-vs-indexing-tools,
SEO Software And Automation Tools,66,created,3,7,4,best-seo-automation-tools-for-agencies|how-to-manage-seo-software-without-losing-quality|seo-automation-vs-managed-seo-services|how-to-track-links-created-by-seo-software,
SEO Campaign Services And Provider Workflows,67,created,2,8,6,how-to-plan-an-seo-campaign-for-a-new-website|how-to-track-seo-campaign-deliverables|how-to-verify-seo-campaign-results|seo-campaign-workflow-from-provider-to-indexing|link-building-provider-checklist-for-local-seo-campaigns|small-website-seo-provider-handoff-checklist,
Platform SEO Playbooks,68,created,4,10,6,shopify-sitemap-and-search-console-guide|woocommerce-category-page-seo-workflow|ecommerce-category-page-indexing-guide|webflow-seo-indexing-guide|saas-website-seo-indexing-workflow|documentation-site-indexing-workflow,
Practical Digital Marketing Tool Stacks,69,created,1,5,4,seo-tool-stack-for-small-websites|indexing-and-discovery-tool-stack|freeindexer-desktop-app-workflow-stack|troubleshooting-tool-stack-for-seo-teams,
